group,prop_budget,method,seed,width,coverage
non-phosphorylated,0.0100,wor-uniform,45,0.10291723906993866,1.0
non-phosphorylated,0.0100,wor-active,46,0.17799651622772217,1.0
non-phosphorylated,0.0100,wor-uniform,46,0.06499089300632477,1.0
non-phosphorylated,0.0100,wor-active,47,0.11916816234588623,1.0
non-phosphorylated,0.0100,wor-uniform,47,0.10403166711330414,1.0
non-phosphorylated,0.0100,wor-active,48,0.16783744096755981,1.0
non-phosphorylated,0.0100,wor-uniform,48,0.147024005651474,1.0
non-phosphorylated,0.0100,wor-active,49,0.08097517490386963,1.0
non-phosphorylated,0.0100,wor-uniform,49,0.03946417197585106,0.0
non-phosphorylated,0.0100,wor-active,50,0.042287349700927734,1.0
non-phosphorylated,0.0100,wor-uniform,50,0.1158696711063385,1.0
non-phosphorylated,0.0100,wor-active,51,0.04233531653881073,1.0
non-phosphorylated,0.0100,wor-uniform,51,0.12898197770118713,1.0
non-phosphorylated,0.0100,wor-active,52,0.03712591528892517,1.0
non-phosphorylated,0.0100,wor-uniform,52,0.14368149638175964,1.0
non-phosphorylated,0.0100,wor-active,53,0.07032840698957443,1.0
non-phosphorylated,0.0100,wor-uniform,53,0.13993686437606812,1.0
non-phosphorylated,0.0100,wor-active,54,0.0,0.0
non-phosphorylated,0.0100,wor-uniform,54,0.12547749280929565,1.0
non-phosphorylated,0.0100,wor-active,55,0.03932859003543854,0.0
non-phosphorylated,0.0100,wor-uniform,55,0.15384501218795776,1.0
non-phosphorylated,0.0100,wor-active,56,0.030752092599868774,0.0
non-phosphorylated,0.0100,wor-uniform,56,0.1281704604625702,1.0
non-phosphorylated,0.0100,wor-active,57,0.047264255583286285,1.0
non-phosphorylated,0.0100,wor-uniform,57,0.1498761773109436,1.0
non-phosphorylated,0.0100,wor-active,58,0.09645935148000717,1.0
non-phosphorylated,0.0100,wor-uniform,58,0.11567754298448563,1.0
non-phosphorylated,0.0100,wor-active,59,0.09613364934921265,1.0
non-phosphorylated,0.0100,wor-uniform,59,0.10658445954322815,1.0
non-phosphorylated,0.0100,wor-active,60,0.22522631287574768,1.0
non-phosphorylated,0.0100,wor-uniform,60,0.18366551399230957,1.0
non-phosphorylated,0.0100,wor-active,61,0.038164347410202026,0.0
non-phosphorylated,0.0100,wor-uniform,61,0.05805031955242157,0.0
non-phosphorylated,0.0100,wor-active,62,0.13421455025672913,1.0
non-phosphorylated,0.0100,wor-uniform,62,0.09120605140924454,1.0
non-phosphorylated,0.0100,wor-active,63,0.03270706534385681,0.0
non-phosphorylated,0.0100,wor-uniform,63,0.10403192043304443,1.0
non-phosphorylated,0.0100,wor-active,64,0.10070738196372986,1.0
non-phosphorylated,0.0100,wor-uniform,64,0.1524939239025116,1.0
non-phosphorylated,0.0100,wor-active,65,0.038401082158088684,0.0
non-phosphorylated,0.0100,wor-uniform,65,0.09437645971775055,1.0
non-phosphorylated,0.0100,wor-active,66,0.1488051414489746,1.0
non-phosphorylated,0.0100,wor-uniform,66,0.08135288208723068,1.0
non-phosphorylated,0.0100,wor-active,67,0.048012875020504,1.0
non-phosphorylated,0.0100,wor-uniform,67,0.08468189835548401,1.0
non-phosphorylated,0.0100,wor-active,68,0.15318353474140167,1.0
non-phosphorylated,0.0100,wor-uniform,68,0.17181521654129028,1.0
non-phosphorylated,0.0100,wor-active,69,0.17081645131111145,1.0
non-phosphorylated,0.0100,wor-uniform,69,0.09688092023134232,1.0
non-phosphorylated,0.0100,wor-active,70,0.04909840226173401,1.0
non-phosphorylated,0.0100,wor-uniform,70,0.06156705319881439,0.0
non-phosphorylated,0.0100,wor-active,71,0.15554717183113098,1.0
non-phosphorylated,0.0100,wor-uniform,71,0.15299400687217712,1.0
non-phosphorylated,0.0100,wor-active,72,0.05153317749500275,1.0
non-phosphorylated,0.0100,wor-uniform,72,0.16191673278808594,1.0
non-phosphorylated,0.0100,wor-active,73,0.039429858326911926,0.0
non-phosphorylated,0.0100,wor-uniform,73,0.12518969178199768,1.0
non-phosphorylated,0.0100,wor-active,74,0.059627093374729156,1.0
non-phosphorylated,0.0100,wor-uniform,74,0.08998793363571167,1.0
non-phosphorylated,0.0100,wor-active,75,0.030274465680122375,0.0
non-phosphorylated,0.0100,wor-uniform,75,0.09195327013731003,1.0
non-phosphorylated,0.0100,wor-active,76,0.04407014697790146,1.0
non-phosphorylated,0.0100,wor-uniform,76,0.1229519248008728,1.0
non-phosphorylated,0.0100,wor-active,77,0.03639526665210724,0.0
non-phosphorylated,0.0100,wor-uniform,77,0.14468929171562195,1.0
non-phosphorylated,0.0100,wor-active,78,0.15306738018989563,1.0
non-phosphorylated,0.0100,wor-uniform,78,0.1307988166809082,1.0
non-phosphorylated,0.0100,wor-active,79,0.05143573135137558,1.0
non-phosphorylated,0.0100,wor-uniform,79,0.15661482512950897,1.0
non-phosphorylated,0.0100,wor-active,80,0.05534156411886215,1.0
non-phosphorylated,0.0100,wor-uniform,80,0.08087348937988281,1.0
non-phosphorylated,0.0100,wor-active,81,0.05616159737110138,1.0
non-phosphorylated,0.0100,wor-uniform,81,0.11819180846214294,1.0
non-phosphorylated,0.0100,wor-active,82,0.04494902491569519,0.0
non-phosphorylated,0.0100,wor-uniform,82,0.10972335934638977,1.0
non-phosphorylated,0.0100,wor-active,83,0.09554964303970337,1.0
non-phosphorylated,0.0100,wor-uniform,83,0.1114163026213646,1.0
non-phosphorylated,0.0100,wor-active,84,0.035389114171266556,0.0
non-phosphorylated,0.0100,wor-uniform,84,0.09234033524990082,1.0
non-phosphorylated,0.0100,wor-active,85,0.07101359963417053,1.0
non-phosphorylated,0.0100,wor-uniform,85,0.10466913878917694,1.0
non-phosphorylated,0.0100,wor-active,86,0.03725998103618622,0.0
non-phosphorylated,0.0100,wor-uniform,86,0.17034345865249634,1.0
non-phosphorylated,0.0100,wor-active,87,0.1286337971687317,1.0
non-phosphorylated,0.0100,wor-uniform,87,0.1219526007771492,1.0
non-phosphorylated,0.0100,wor-active,88,0.054407037794589996,1.0
non-phosphorylated,0.0100,wor-uniform,88,0.15675044059753418,1.0
non-phosphorylated,0.0100,wor-active,89,0.11395429819822311,1.0
non-phosphorylated,0.0100,wor-uniform,89,0.12569168210029602,1.0
non-phosphorylated,0.0100,wor-active,90,0.042823582887649536,1.0
non-phosphorylated,0.0100,wor-uniform,90,0.11914961040019989,1.0
non-phosphorylated,0.0100,wor-active,91,0.1600377857685089,1.0
non-phosphorylated,0.0100,wor-uniform,91,0.08497729897499084,1.0
non-phosphorylated,0.0100,wor-active,92,0.03951403498649597,0.0
non-phosphorylated,0.0100,wor-uniform,92,0.12791955471038818,1.0
non-phosphorylated,0.0100,wor-active,93,0.04851888120174408,0.0
non-phosphorylated,0.0100,wor-uniform,93,0.0771467387676239,1.0
non-phosphorylated,0.0100,wor-active,94,0.04242606461048126,1.0
non-phosphorylated,0.0100,wor-uniform,94,0.08193331956863403,1.0
non-phosphorylated,0.0100,wor-active,95,0.10332351922988892,1.0
non-phosphorylated,0.0100,wor-uniform,95,0.12699994444847107,1.0
non-phosphorylated,0.0100,wor-active,96,0.15190884470939636,1.0
non-phosphorylated,0.0100,wor-uniform,96,0.04583129286766052,0.0
non-phosphorylated,0.0100,wor-active,97,0.1558154821395874,1.0
non-phosphorylated,0.0100,wor-uniform,97,0.14756444096565247,1.0
non-phosphorylated,0.0100,wor-active,98,0.05314391851425171,1.0
non-phosphorylated,0.0100,wor-uniform,98,0.10222746431827545,1.0
non-phosphorylated,0.0100,wor-active,99,0.15472722053527832,1.0
non-phosphorylated,0.0100,wor-uniform,99,0.10287110507488251,1.0
non-phosphorylated,0.0100,wor-active,100,0.04750417172908783,1.0
non-phosphorylated,0.0100,wor-uniform,100,0.06068742275238037,0.0
non-phosphorylated,0.0100,wor-active,101,0.1993074119091034,0.0
non-phosphorylated,0.0100,wor-uniform,101,0.09010004997253418,1.0
non-phosphorylated,0.0100,wor-active,102,0.06177505850791931,1.0
