group,prop_budget,method,ess_multiplier,ess_multiplier_serr,ess_multiplier_vs_classical,ess_multiplier_vs_classical_serr,coverage,coverage_serr,mean_width,mean_width_serr
non-phosphorylated,0.08,wor-active,1.4390358370071006,0.02348840992949126,4.217868865055906,0.06571999683287522,0.921,0.008534156773333369,0.03547443073987957,0.00020854526478968476
non-phosphorylated,0.08,wor-uniform,1.0,0.0,3.0387889387132767,0.023457177093670803,0.945,0.0072129762946392005,0.039858807675540404,0.00011577283439824268
non-phosphorylated,0.09,bernoulli-active,1.007857317844106,0.012278247364955086,3.0146042795641517,0.03398509635847502,0.963,0.005972157622389639,0.03868723075091834,0.00017649500690315834
non-phosphorylated,0.09,bernoulli-uniform,0.8138145600883645,0.006309552470023006,2.437841087673392,0.01635377692996891,0.973,0.005128089049275305,0.04198194424062963,0.00010081730887819871
non-phosphorylated,0.09,classical,0.3390003777624823,0.0023111217977245507,1.0,0.0,0.952,0.006763264133666652,0.06480412565171714,0.00013515519852616244
non-phosphorylated,0.09,wor-active,1.39490089587949,0.02015218543553795,4.188394756276131,0.05796666902752064,0.933,0.007910345983177573,0.0333291336819529,0.00017773632947229556
non-phosphorylated,0.09,wor-uniform,1.0,0.0,3.0885597230865436,0.02143490117493938,0.946,0.007150883521295473,0.037362653218209696,0.0001018657112658969
non-phosphorylated,0.1,bernoulli-active,0.980196769367748,0.01055849535603853,2.9723410544143567,0.031459124018242114,0.966,0.0057338361396953854,0.036857370816171124,0.0001626326751841473
non-phosphorylated,0.1,bernoulli-uniform,0.7989680929617307,0.005691762312839451,2.412392053258579,0.015314608898583156,0.968,0.005568393575081328,0.039993099853396365,9.33362924696432e-05
non-phosphorylated,0.1,classical,0.33654974045839486,0.002180271880571271,1.0,0.0,0.947,0.007088105617246489,0.06145918223261829,0.00012260542781097197
non-phosphorylated,0.1,wor-active,1.4117279910913199,0.019183574181951168,4.2652732383951335,0.055710889189555315,0.936,0.007743640226919377,0.031181985370814753,0.0001625015829578295
non-phosphorylated,0.1,wor-uniform,1.0,0.0,3.0997354287275005,0.020738471682059317,0.942,0.0073953154557929906,0.035326237581670236,8.896458747885309e-05
non-phosphorylated,0.11,bernoulli-active,0.946771752122217,0.009149466793686792,2.862533847217588,0.026555073986023144,0.967,0.005651808820452346,0.03544981016218658,0.0001381485035949823
non-phosphorylated,0.11,bernoulli-uniform,0.7840678853500849,0.005053273630189687,2.3662340357684752,0.013417992479908386,0.968,0.005568393575081328,0.038315786942839575,8.322501413692075e-05
non-phosphorylated,0.11,classical,0.336363330420061,0.0021026148621297726,1.0,0.0,0.95,0.006895472974897919,0.05844242953881616,0.0001135019087348222
non-phosphorylated,0.11,wor-active,1.4218687635481695,0.01961503841334686,4.306548329002292,0.058299106782175134,0.923,0.00843458014024066,0.029623430371284436,0.00015614580672286028
non-phosphorylated,0.11,wor-uniform,1.0,0.0,3.088045618884775,0.019195268192105416,0.941,0.007454835650406692,0.03359964860975737,7.743019862710478e-05
non-phosphorylated,0.12,bernoulli-active,0.9376132192423079,0.009220111230719204,2.8570462441705327,0.027558530252794318,0.962,0.0060491811505849775,0.03399680738151069,0.0001346578678352677
non-phosphorylated,0.12,bernoulli-uniform,0.7574784267083483,0.004484446059160009,2.3067121731647857,0.012305087483993202,0.979,0.004536472151306517,0.03709237998723979,7.097505394814074e-05
