dataset,n_full_obs,mcar_obs_prob,prop_budget,ess_multiplier,ess_multiplier_serr,coverage,coverage_serr,mean_width,mean_width_serr
bbh+gpqa+ifeval+math+musr,,1.0,0.025,3.125774020876451,0.0019048479269478402,0.9433679927667269,0.0004201196278240878,0.09000808529555794,2.6392677244468287e-05
bbh+gpqa+ifeval+math+musr,,1.0,0.05,3.769355602592654,0.0019026433856718257,0.9450949367088607,0.000407017456299339,0.057243140377104235,1.3905581265596162e-05
bbh+gpqa+ifeval+math+musr,,1.0,0.075,4.206828080747904,0.001675249086180574,0.9470569620253164,0.0004474388270322797,0.043633825592696615,8.407360529429278e-06
bbh+gpqa+ifeval+math+musr,,1.0,0.1,4.521599001309158,0.0015622210953962759,0.9478119349005425,0.00044975932979585793,0.035962803550064516,5.940931204193673e-06
bbh+gpqa+ifeval+math+musr,,1.0,0.125,4.761642929373087,0.001495684822564717,0.9485895117540687,0.00043514409163259273,0.030911993663757992,4.5692776802195755e-06
bbh+gpqa+ifeval+math+musr,,1.0,0.15,4.952710995882028,0.0014672905567752787,0.9480741410488246,0.0004939352350938995,0.027263537775725082,3.7628761188339382e-06
bbh+gpqa+ifeval+math+musr,,1.0,0.175,5.106600596128804,0.001386071671435226,0.9477350813743218,0.00046335042421424214,0.024493334442377043,3.1507301346198185e-06
bbh+gpqa+ifeval+math+musr,,1.0,0.2,5.232279271180476,0.0013411490270907457,0.9483725135623869,0.00045707507197417774,0.022291044555604406,2.7112771575904262e-06
bbh+gpqa+ifeval+math+musr,,1.0,0.225,5.336395988602968,0.0013195974178612361,0.9484403254972875,0.0004672317366812488,0.020478806439787105,2.390481607371191e-06
bbh+gpqa+ifeval+math+musr,,1.0,0.25,5.420906059305769,0.001243476493966123,0.9482007233273057,0.0004890275234212935,0.018964428119361353,2.081585095272125e-06
mmlu-pro,,1.0,0.025,3.6437915718274456,0.002287126965122095,0.9411522819701763,0.0005115553258835226,0.06637644484639163,1.9755986494300595e-05
mmlu-pro,,1.0,0.05,4.426026417887913,0.0020148886029766875,0.9452507907817442,0.0004858668125267711,0.0420227431878447,8.856727159309987e-06
mmlu-pro,,1.0,0.075,4.928823357730834,0.0017720626730212473,0.9466425666516042,0.00044291694800813273,0.03208232764154668,5.239410569313425e-06
mmlu-pro,,1.0,0.1,5.289132348455514,0.0016162388538178483,0.9468956168097605,0.0005016467355510089,0.02645520154386754,3.75901610422413e-06
mmlu-pro,,1.0,0.125,5.5632709278012165,0.0015706114200826553,0.947501129688206,0.0004452253201400784,0.02274798134341831,2.979514384650707e-06
mmlu-pro,,1.0,0.15,5.782358524968835,0.001450987514704311,0.9478581111613196,0.0004571345840140975,0.020081732589751444,2.3759876295992425e-06
mmlu-pro,,1.0,0.175,5.962186309224547,0.0013496005504037272,0.9478309986443741,0.00043723163103075765,0.018037044145166825,1.95365072382323e-06
mmlu-pro,,1.0,0.2,6.112573689937438,0.0013871063920979463,0.9484048802530503,0.00042692100074935774,0.016408255100250194,1.7492571683842467e-06
mmlu-pro,,1.0,0.225,6.237895795899644,0.0013335059726418386,0.9486443741527338,0.0004370900901283905,0.015072080427780701,1.527424290491754e-06
mmlu-pro,,1.0,0.25,6.342292367377184,0.0013133323835657132,0.9484681427925892,0.0004317509611700591,0.013949493337422555,1.3708944304330996e-06
