prop_budget,method,seed,width,coverage
0.0100,bernoulli-active,433,3.569990873336792,1.0
0.0100,bernoulli-active,434,2.6075692176818848,1.0
0.0100,bernoulli-active,435,2.274190902709961,1.0
0.0100,bernoulli-active,436,2.0554816722869873,1.0
0.0100,bernoulli-active,437,2.609673023223877,1.0
0.0100,bernoulli-active,438,2.256757974624634,1.0
0.0100,bernoulli-active,439,3.2908689975738525,1.0
0.0100,bernoulli-active,440,2.3265538215637207,1.0
0.0100,bernoulli-active,441,2.7313156127929688,1.0
0.0100,bernoulli-active,442,1.9352543354034424,1.0
0.0100,bernoulli-active,443,1.9498839378356934,1.0
0.0100,bernoulli-active,444,2.400195598602295,1.0
0.0100,bernoulli-active,445,2.276423215866089,1.0
0.0100,bernoulli-active,446,3.6004772186279297,1.0
0.0100,bernoulli-active,447,1.766750454902649,1.0
0.0100,bernoulli-active,448,4.3161163330078125,1.0
0.0100,bernoulli-active,449,1.4427483081817627,1.0
0.0100,bernoulli-active,450,3.9617440700531006,1.0
0.0100,bernoulli-active,451,2.097994089126587,1.0
0.0100,bernoulli-active,452,1.5815528631210327,1.0
0.0100,bernoulli-active,453,3.1232385635375977,1.0
0.0100,bernoulli-active,454,1.7829623222351074,1.0
0.0100,bernoulli-active,455,1.4823076725006104,1.0
0.0100,bernoulli-active,456,3.239377021789551,1.0
0.0100,bernoulli-active,457,2.0886833667755127,1.0
0.0100,bernoulli-active,458,1.6959682703018188,1.0
0.0100,bernoulli-active,459,2.2044131755828857,1.0
0.0100,bernoulli-active,460,2.894503355026245,1.0
0.0100,bernoulli-active,461,3.1407814025878906,1.0
0.0100,bernoulli-active,462,2.2661447525024414,1.0
0.0100,bernoulli-active,463,1.941723108291626,1.0
0.0100,bernoulli-active,464,1.98025643825531,1.0
0.0100,bernoulli-active,465,4.847039699554443,1.0
0.0100,bernoulli-active,466,3.598562717437744,1.0
0.0100,bernoulli-active,467,5.429403305053711,1.0
0.0100,bernoulli-active,468,1.4026503562927246,1.0
0.0100,bernoulli-active,469,3.583179473876953,1.0
0.0100,bernoulli-active,470,1.3643584251403809,1.0
0.0100,bernoulli-active,471,1.5787115097045898,1.0
0.0100,bernoulli-active,472,2.821953296661377,1.0
0.0100,bernoulli-active,473,1.9785010814666748,1.0
0.0100,bernoulli-active,474,2.6428887844085693,1.0
0.0100,bernoulli-active,475,1.3793931007385254,1.0
0.0100,bernoulli-active,476,2.6005330085754395,1.0
0.0100,bernoulli-active,477,1.1537063121795654,1.0
0.0100,bernoulli-active,478,3.480499505996704,1.0
0.0100,bernoulli-active,479,2.4768476486206055,1.0
0.0100,bernoulli-active,480,1.9128613471984863,1.0
0.0100,bernoulli-active,481,3.1194496154785156,1.0
0.0100,bernoulli-active,482,2.3541932106018066,0.0
0.0100,bernoulli-active,483,2.178154230117798,1.0
0.0100,bernoulli-active,484,2.71028208732605,1.0
0.0100,bernoulli-active,485,2.7826950550079346,1.0
0.0100,bernoulli-active,486,2.6867682933807373,1.0
0.0100,bernoulli-active,487,2.0580339431762695,1.0
0.0100,bernoulli-active,488,1.8485994338989258,1.0
0.0100,bernoulli-active,489,2.292349338531494,1.0
0.0100,bernoulli-active,490,2.3356289863586426,1.0
0.0100,bernoulli-active,491,3.156616687774658,1.0
0.0100,bernoulli-active,492,2.3188600540161133,1.0
0.0100,bernoulli-active,493,4.2134599685668945,1.0
