dataset,n_full_obs,mcar_obs_prob,prop_budget,seed,mean_width,coverage
mmlu-pro,None,1.0,0.025,33,0.06824091821908951,0.9484862178038862
mmlu-pro,None,1.0,0.025,34,0.06786647439002991,0.9335743334839585
mmlu-pro,None,1.0,0.025,35,0.06828925758600235,0.946678716674198
mmlu-pro,None,1.0,0.025,36,0.06830354779958725,0.9430637144148215
mmlu-pro,None,1.0,0.025,37,0.06816940754652023,0.9480343425214641
mmlu-pro,None,1.0,0.025,38,0.0681852474808693,0.946678716674198
mmlu-pro,None,1.0,0.025,39,0.06824249774217606,0.9417080885675554
mmlu-pro,None,1.0,0.025,40,0.06828343868255615,0.9444193402620877
mmlu-pro,None,1.0,0.025,41,0.0682700127363205,0.9489380930863082
mmlu-pro,None,1.0,0.025,42,0.06795050948858261,0.9444193402620877
mmlu-pro,None,1.0,0.025,43,0.06815280020236969,0.9376412110257569
mmlu-pro,None,1.0,0.025,44,0.06809398531913757,0.938093086308179
mmlu-pro,None,1.0,0.025,45,0.06862771511077881,0.9489380930863082
mmlu-pro,None,1.0,0.025,46,0.0684642642736435,0.946678716674198
mmlu-pro,None,1.0,0.025,47,0.06829782575368881,0.9403524627202893
mmlu-pro,None,1.0,0.025,48,0.06803595274686813,0.947582467239042
mmlu-pro,None,1.0,0.025,49,0.0680483803153038,0.9453230908269318
mmlu-pro,None,1.0,0.025,50,0.06794711947441101,0.9408043380027112
mmlu-pro,None,1.0,0.025,51,0.06810865551233292,0.9489380930863082
mmlu-pro,None,1.0,0.025,52,0.06822945922613144,0.94713059195662
mmlu-pro,None,1.0,0.025,53,0.06819239258766174,0.9304112065070042
mmlu-pro,None,1.0,0.025,54,0.06799091398715973,0.9376412110257569
mmlu-pro,None,1.0,0.025,55,0.06841467320919037,0.9453230908269318
mmlu-pro,None,1.0,0.025,56,0.06832380592823029,0.9417080885675554
mmlu-pro,None,1.0,0.025,57,0.0682072639465332,0.9444193402620877
mmlu-pro,None,1.0,0.025,58,0.06827542930841446,0.9525530953456847
mmlu-pro,None,1.0,0.025,59,0.06793554872274399,0.9417080885675554
mmlu-pro,None,1.0,0.025,60,0.0681174248456955,0.9421599638499775
mmlu-pro,None,1.0,0.025,61,0.06816801428794861,0.9408043380027112
mmlu-pro,None,1.0,0.025,62,0.06812799721956253,0.956168097605061
mmlu-pro,None,1.0,0.025,63,0.06809228658676147,0.9371893357433349
mmlu-pro,None,1.0,0.025,64,0.06812397390604019,0.9448712155445097
mmlu-pro,None,1.0,0.025,65,0.06807655096054077,0.938996836873023
mmlu-pro,None,1.0,0.05,33,0.04347857087850571,0.9453230908269318
mmlu-pro,None,1.0,0.05,34,0.043475452810525894,0.9525530953456847
mmlu-pro,None,1.0,0.05,35,0.04365262761712074,0.947582467239042
mmlu-pro,None,1.0,0.05,36,0.043543342500925064,0.9498418436511523
mmlu-pro,None,1.0,0.05,37,0.04354565963149071,0.9525530953456847
mmlu-pro,None,1.0,0.05,38,0.043560635298490524,0.9570718481699051
mmlu-pro,None,1.0,0.05,39,0.04349101707339287,0.9457749661093539
mmlu-pro,None,1.0,0.05,40,0.04357970133423805,0.947582467239042
mmlu-pro,None,1.0,0.05,41,0.0435052290558815,0.9439674649796657
mmlu-pro,None,1.0,0.05,42,0.043434400111436844,0.9385449615906011
mmlu-pro,None,1.0,0.05,43,0.04352354630827904,0.9507455942159965
mmlu-pro,None,1.0,0.05,44,0.043483439832925797,0.9444193402620877
mmlu-pro,None,1.0,0.05,45,0.04361717402935028,0.9462268413917759
mmlu-pro,None,1.0,0.05,46,0.043629031628370285,0.94713059195662
mmlu-pro,None,1.0,0.05,47,0.043612122535705566,0.9444193402620877
mmlu-pro,None,1.0,0.05,48,0.04349683225154877,0.9399005874378672
mmlu-pro,None,1.0,0.05,49,0.043476033955812454,0.9367374604609128
mmlu-pro,None,1.0,0.05,50,0.04338729381561279,0.9412562132851333
mmlu-pro,None,1.0,0.05,51,0.04354915767908096,0.9484862178038862
mmlu-pro,None,1.0,0.05,52,0.043544888496398926,0.9439674649796657
mmlu-pro,None,1.0,0.05,53,0.043404389172792435,0.9412562132851333
mmlu-pro,None,1.0,0.05,54,0.04346515238285065,0.9448712155445097
mmlu-pro,None,1.0,0.05,55,0.043717361986637115,0.9453230908269318
mmlu-pro,None,1.0,0.05,56,0.0435355082154274,0.94713059195662
mmlu-pro,None,1.0,0.05,57,0.04339374601840973,0.9462268413917759
mmlu-pro,None,1.0,0.05,58,0.04342479631304741,0.9462268413917759
mmlu-pro,None,1.0,0.05,59,0.04340974614024162,0.9426118391323995
mmlu-pro,None,1.0,0.05,60,0.04347021505236626,0.947582467239042
mmlu-pro,None,1.0,0.05,61,0.04351857304573059,0.9502937189335744
mmlu-pro,None,1.0,0.05,62,0.04346751794219017,0.9498418436511523
mmlu-pro,None,1.0,0.05,63,0.04354672133922577,0.9444193402620877
mmlu-pro,None,1.0,0.05,64,0.04353328421711922,0.9453230908269318
mmlu-pro,None,1.0,0.05,65,0.04344543442130089,0.9367374604609128
mmlu-pro,None,1.0,0.075,33,0.03343641757965088,0.9552643470402169
mmlu-pro,None,1.0,0.075,34,0.033323414623737335,0.9453230908269318
mmlu-pro,None,1.0,0.075,35,0.03346337005496025,0.9502937189335744
mmlu-pro,None,1.0,0.075,36,0.033459052443504333,0.9502937189335744
mmlu-pro,None,1.0,0.075,37,0.03340090066194534,0.9525530953456847
mmlu-pro,None,1.0,0.075,38,0.033424295485019684,0.9502937189335744
mmlu-pro,None,1.0,0.075,39,0.03341462463140488,0.9421599638499775
mmlu-pro,None,1.0,0.075,40,0.03346823900938034,0.9480343425214641
mmlu-pro,None,1.0,0.075,41,0.033438172191381454,0.9516493447808405
mmlu-pro,None,1.0,0.075,42,0.03334198519587517,0.9417080885675554
mmlu-pro,None,1.0,0.075,43,0.033414747565984726,0.9444193402620877
mmlu-pro,None,1.0,0.075,44,0.03337683156132698,0.9412562132851333
mmlu-pro,None,1.0,0.075,45,0.033516015857458115,0.9480343425214641
mmlu-pro,None,1.0,0.075,46,0.033509112894535065,0.9435155896972436
mmlu-pro,None,1.0,0.075,47,0.03343741595745087,0.938996836873023
mmlu-pro,None,1.0,0.075,48,0.033380135893821716,0.9530049706281066
mmlu-pro,None,1.0,0.075,49,0.033441148698329926,0.9408043380027112
mmlu-pro,None,1.0,0.075,50,0.03337731584906578,0.9462268413917759
mmlu-pro,None,1.0,0.075,51,0.03342469036579132,0.9534568459105287
mmlu-pro,None,1.0,0.075,52,0.03345533832907677,0.9435155896972436
mmlu-pro,None,1.0,0.075,53,0.03340441733598709,0.946678716674198
mmlu-pro,None,1.0,0.075,54,0.03340557962656021,0.9511974694984184
mmlu-pro,None,1.0,0.075,55,0.03350710868835449,0.9444193402620877
mmlu-pro,None,1.0,0.075,56,0.033424146473407745,0.9462268413917759
mmlu-pro,None,1.0,0.075,57,0.033405981957912445,0.9521012200632626
