dataset,n_full_obs,mcar_obs_prob,prop_budget,seed,mean_width,coverage
mmlu-pro,None,1.0,0.025,66,0.06634333729743958,0.9331224582015364
mmlu-pro,None,1.0,0.025,67,0.06634733825922012,0.9480343425214641
mmlu-pro,None,1.0,0.025,68,0.06651435047388077,0.9367374604609128
mmlu-pro,None,1.0,0.025,69,0.06645584851503372,0.938996836873023
mmlu-pro,None,1.0,0.025,70,0.06623891741037369,0.9421599638499775
mmlu-pro,None,1.0,0.025,71,0.06613744795322418,0.9317668323542703
mmlu-pro,None,1.0,0.025,72,0.06655693054199219,0.9394487121554451
mmlu-pro,None,1.0,0.025,73,0.0662645548582077,0.9304112065070042
mmlu-pro,None,1.0,0.025,74,0.0667688325047493,0.9462268413917759
mmlu-pro,None,1.0,0.025,75,0.06631670892238617,0.9552643470402169
mmlu-pro,None,1.0,0.025,76,0.06640863418579102,0.938093086308179
mmlu-pro,None,1.0,0.025,77,0.06652047485113144,0.9385449615906011
mmlu-pro,None,1.0,0.025,78,0.06610774993896484,0.9326705829191143
mmlu-pro,None,1.0,0.025,79,0.06626612693071365,0.9349299593312246
mmlu-pro,None,1.0,0.025,80,0.06635388731956482,0.9426118391323995
mmlu-pro,None,1.0,0.025,81,0.06649702787399292,0.9403524627202893
mmlu-pro,None,1.0,0.025,82,0.06643296033143997,0.938093086308179
mmlu-pro,None,1.0,0.025,83,0.06612696498632431,0.9435155896972436
mmlu-pro,None,1.0,0.025,84,0.06640023738145828,0.9408043380027112
mmlu-pro,None,1.0,0.025,85,0.06645559519529343,0.9371893357433349
mmlu-pro,None,1.0,0.025,86,0.06665433198213577,0.9439674649796657
mmlu-pro,None,1.0,0.025,87,0.0662771612405777,0.9457749661093539
mmlu-pro,None,1.0,0.025,88,0.0663575828075409,0.9276999548124718
mmlu-pro,None,1.0,0.025,89,0.06638997793197632,0.9417080885675554
mmlu-pro,None,1.0,0.025,90,0.06632624566555023,0.94713059195662
mmlu-pro,None,1.0,0.025,91,0.06610751152038574,0.9430637144148215
mmlu-pro,None,1.0,0.025,92,0.06676284968852997,0.9417080885675554
mmlu-pro,None,1.0,0.025,93,0.0661827102303505,0.9412562132851333
mmlu-pro,None,1.0,0.025,94,0.06625095009803772,0.9417080885675554
mmlu-pro,None,1.0,0.025,95,0.06627625972032547,0.9511974694984184
mmlu-pro,None,1.0,0.025,96,0.06600070744752884,0.9308630817894261
mmlu-pro,None,1.0,0.025,97,0.06686045229434967,0.9421599638499775
mmlu-pro,None,1.0,0.025,98,0.06648024916648865,0.9421599638499775
mmlu-pro,None,1.0,0.025,99,0.06673253327608109,0.9439674649796657
mmlu-pro,None,1.0,0.05,66,0.04209744185209274,0.9417080885675554
mmlu-pro,None,1.0,0.05,67,0.04196895658969879,0.9439674649796657
mmlu-pro,None,1.0,0.05,68,0.04206820949912071,0.9453230908269318
mmlu-pro,None,1.0,0.05,69,0.042037852108478546,0.9344780840488026
mmlu-pro,None,1.0,0.05,70,0.041927456855773926,0.947582467239042
mmlu-pro,None,1.0,0.05,71,0.04190066084265709,0.9353818346136467
mmlu-pro,None,1.0,0.05,72,0.04212342947721481,0.9412562132851333
mmlu-pro,None,1.0,0.05,73,0.04195880889892578,0.9412562132851333
mmlu-pro,None,1.0,0.05,74,0.04217306524515152,0.9534568459105287
mmlu-pro,None,1.0,0.05,75,0.042022015899419785,0.9521012200632626
mmlu-pro,None,1.0,0.05,76,0.04204311966896057,0.9403524627202893
mmlu-pro,None,1.0,0.05,77,0.04212917014956474,0.9435155896972436
mmlu-pro,None,1.0,0.05,78,0.041875436902046204,0.9462268413917759
mmlu-pro,None,1.0,0.05,79,0.04204460233449936,0.9421599638499775
mmlu-pro,None,1.0,0.05,80,0.04200099781155586,0.947582467239042
mmlu-pro,None,1.0,0.05,81,0.0420989990234375,0.9399005874378672
mmlu-pro,None,1.0,0.05,82,0.042014699429273605,0.9498418436511523
mmlu-pro,None,1.0,0.05,83,0.041929103434085846,0.947582467239042
mmlu-pro,None,1.0,0.05,84,0.041996631771326065,0.9403524627202893
mmlu-pro,None,1.0,0.05,85,0.04204527661204338,0.946678716674198
mmlu-pro,None,1.0,0.05,86,0.04219744727015495,0.9435155896972436
mmlu-pro,None,1.0,0.05,87,0.04192443564534187,0.9480343425214641
mmlu-pro,None,1.0,0.05,88,0.04196438565850258,0.938093086308179
mmlu-pro,None,1.0,0.05,89,0.04202239215373993,0.9362855851784908
mmlu-pro,None,1.0,0.05,90,0.04195600375533104,0.94713059195662
mmlu-pro,None,1.0,0.05,91,0.04191391542553902,0.9421599638499775
mmlu-pro,None,1.0,0.05,92,0.04215194657444954,0.9507455942159965
mmlu-pro,None,1.0,0.05,93,0.04197009652853012,0.9435155896972436
mmlu-pro,None,1.0,0.05,94,0.0420045405626297,0.9498418436511523
mmlu-pro,None,1.0,0.05,95,0.04192274063825607,0.9543605964753729
