dataset,n_full_obs,mcar_obs_prob,prop_budget,tau,mean_width,mean_width_se,coverage,n_seeds
bbh+gpqa+ifeval+math+musr,,1.0,0.5,0.5,0.010214651161804741,6.06878680145462e-07,0.9495207956600362,100
mmlu-pro,0.0,1e-05,0.275,0.75,0.029310243260115335,7.841849284365617e-07,0.9496023497514686,100
mmlu-pro,0.0,1e-05,0.3,0.75,0.027567937858402683,7.230524240171235e-07,0.949814731134207,100
mmlu-pro,0.0,1e-05,0.325,0.75,0.0260026721656322,6.388192038187264e-07,0.9493854496159061,100
mmlu-pro,0.0,1e-05,0.35,0.75,0.02458277774974699,6.004431641346901e-07,0.9496249435155897,100
mmlu-pro,0.0,1e-05,0.375,0.75,0.023284742198884444,5.575452573135426e-07,0.9496836873023047,100
mmlu-pro,0.0,1e-05,0.4,0.75,0.02209053209051485,5.388855042174804e-07,0.9495481247175781,100
mmlu-pro,0.0,1e-05,0.425,0.75,0.020977059621363828,4.879530906229151e-07,0.9499276999548125,100
mmlu-pro,0.0,1e-05,0.45,0.75,0.019936154242604923,4.4891833634091713e-07,0.949403524627203,100
mmlu-pro,0.0,1e-05,0.475,0.75,0.018956957887858103,3.9963979415493105e-07,0.9494396746497966,100
mmlu-pro,0.0,1e-05,0.5,0.75,0.01803410310298199,3.7878901473727594e-07,0.9496023497514686,100
mmlu-pro,0.0,0.0001,0.275,0.75,0.029310032315552192,7.843230394017079e-07,0.9495933122458201,100
mmlu-pro,0.0,0.0001,0.3,0.75,0.027567152138799376,7.236345639781147e-07,0.9497785811116133,100
mmlu-pro,0.0,0.0001,0.325,0.75,0.026001740712672423,6.385009036744354e-07,0.9493131495707184,100
mmlu-pro,0.0,0.0001,0.35,0.75,0.024582547638565252,6.013914032311855e-07,0.9495526434704022,100
mmlu-pro,0.0,0.0001,0.375,0.75,0.023284059986472084,5.56867727114668e-07,0.9496384997740625,100
mmlu-pro,0.0,0.0001,0.4,0.75,0.02208981867879624,5.398511384911438e-07,0.9497062810664256,100
mmlu-pro,0.0,0.0001,0.425,0.75,0.020976430717855647,4.900914405325285e-07,0.9499683687302304,100
mmlu-pro,0.0,0.0001,0.45,0.75,0.019935379587113812,4.4772666604624803e-07,0.9494441934026209,100
mmlu-pro,0.0,0.0001,0.475,0.75,0.018956273235380603,4.002150633047436e-07,0.9494938996836874,100
mmlu-pro,0.0,0.0001,0.5,0.75,0.018033553622662974,3.7862256548587125e-07,0.949670131043832,100
mmlu-pro,0.0,0.001,0.275,0.75,0.027347052283585024,7.463296741097902e-07,0.949322187076367,100
mmlu-pro,0.0,0.001,0.3,0.75,0.025688412450253915,6.897213345204793e-07,0.9491911432444645,100
mmlu-pro,0.0,0.001,0.325,0.75,0.024203035570681042,6.071887547766128e-07,0.9496159060099413,100
mmlu-pro,0.0,0.001,0.35,0.75,0.02285884262993927,5.769073966848319e-07,0.9498328061455038,100
mmlu-pro,0.0,0.001,0.375,0.75,0.021630593482404904,5.342179439243677e-07,0.9493990058743788,100
mmlu-pro,0.0,0.001,0.4,0.75,0.020503524914383845,5.023269157738579e-07,0.9496565747853594,100
mmlu-pro,0.0,0.001,0.425,0.75,0.019454207159578747,4.6567069211794895e-07,0.9498373248983281,100
mmlu-pro,0.0,0.001,0.45,0.75,0.018474866431206414,4.339695932522193e-07,0.9499276999548125,100
mmlu-pro,0.0,0.001,0.475,0.75,0.017554096505045844,4.235458297509459e-07,0.9495933122458201,100
mmlu-pro,0.0,0.001,0.5,0.75,0.016686893347650722,3.8090516979604393e-07,0.9489109805693628,100
mmlu-pro,0.0,0.01,0.275,0.75,0.02257048567757006,7.766122283532643e-07,0.9485991866244916,100
mmlu-pro,0.0,0.01,0.3,0.5,0.021155484188348006,8.816399594787034e-07,0.9489877993673745,100
mmlu-pro,0.0,0.01,0.325,0.5,0.019886414743959857,7.91874180243415e-07,0.9488386805241754,100
mmlu-pro,0.0,0.01,0.35,0.5,0.0187406812421977,7.761071178132102e-07,0.9491549932218707,100
mmlu-pro,0.0,0.01,0.375,0.5,0.01769727915525431,6.562393481749338e-07,0.949159511974695,100
mmlu-pro,0.0,0.01,0.4,0.5,0.01673900239169593,5.988509328210412e-07,0.9494984184365116,100
mmlu-pro,0.0,0.01,0.425,0.5,0.01584898289293046,5.494450513634394e-07,0.9498373248983281,100
mmlu-pro,0.0,0.01,0.45,0.5,0.015020078858360597,4.902368176428978e-07,0.9496068685042929,100
mmlu-pro,0.0,0.01,0.475,0.5,0.014242077777162148,4.905417121805546e-07,0.9490917306823318,100
mmlu-pro,0.0,0.01,0.5,0.5,0.013521521687507579,4.7039376225421757e-07,0.9497288748305468,100
mmlu-pro,,1.0,0.275,0.5,0.013057993249967642,1.3574884438387043e-06,0.9488974243108902,100
mmlu-pro,,1.0,0.3,0.5,0.012146483315154865,1.1621112519049839e-06,0.9491323994577497,100
mmlu-pro,,1.0,0.325,0.5,0.011353463102132033,9.959116502318818e-07,0.9484952553095346,100
mmlu-pro,,1.0,0.35,0.5,0.010661604162305542,9.357318758238826e-07,0.9494713059195662,100
mmlu-pro,,1.0,0.375,0.5,0.010053105708211612,8.052129867691906e-07,0.9491098056936287,100
mmlu-pro,,1.0,0.4,0.5,0.009516198225319336,7.326070852086373e-07,0.9490284681427926,100
mmlu-pro,,1.0,0.425,0.5,0.0090318912826478,7.163338163413579e-07,0.9496565747853594,100
mmlu-pro,,1.0,0.45,0.5,0.008592010326683473,6.913971047913493e-07,0.9488386805241754,100
mmlu-pro,,1.0,0.475,0.5,0.008189022401347713,6.162257438077318e-07,0.949426118391324,100
mmlu-pro,,1.0,0.5,0.5,0.007816629419103218,5.488604469017619e-07,0.949670131043832,100
