dataset,n_full_obs,mcar_obs_prob,prop_budget,seed,mean_width,coverage
mmlu-pro,None,1.0,0.025,0,0.06827893108129501,0.9403524627202893
mmlu-pro,None,1.0,0.025,1,0.06823791563510895,0.9421599638499775
mmlu-pro,None,1.0,0.025,2,0.0682220607995987,0.9326705829191143
mmlu-pro,None,1.0,0.025,3,0.06830047070980072,0.9448712155445097
mmlu-pro,None,1.0,0.025,4,0.06818346679210663,0.9448712155445097
mmlu-pro,None,1.0,0.025,5,0.06847908347845078,0.9444193402620877
mmlu-pro,None,1.0,0.025,6,0.06832507252693176,0.9439674649796657
mmlu-pro,None,1.0,0.025,7,0.06806789338588715,0.9439674649796657
mmlu-pro,None,1.0,0.025,8,0.06829050183296204,0.9462268413917759
mmlu-pro,None,1.0,0.025,9,0.06837437301874161,0.9412562132851333
mmlu-pro,None,1.0,0.025,10,0.06811356544494629,0.938996836873023
mmlu-pro,None,1.0,0.025,11,0.06799019128084183,0.946678716674198
mmlu-pro,None,1.0,0.025,12,0.06827827543020248,0.947582467239042
mmlu-pro,None,1.0,0.025,13,0.06827010959386826,0.9444193402620877
mmlu-pro,None,1.0,0.025,14,0.06820792704820633,0.9408043380027112
mmlu-pro,None,1.0,0.025,15,0.06812354177236557,0.9439674649796657
mmlu-pro,None,1.0,0.025,16,0.0681769996881485,0.9439674649796657
mmlu-pro,None,1.0,0.025,17,0.0681205689907074,0.9530049706281066
mmlu-pro,None,1.0,0.025,18,0.06835954636335373,0.94713059195662
mmlu-pro,None,1.0,0.025,19,0.06827125698328018,0.9408043380027112
mmlu-pro,None,1.0,0.025,20,0.06822799146175385,0.9448712155445097
mmlu-pro,None,1.0,0.025,21,0.06795965135097504,0.9444193402620877
mmlu-pro,None,1.0,0.025,22,0.06858327239751816,0.9480343425214641
mmlu-pro,None,1.0,0.025,23,0.06810888648033142,0.9493899683687302
mmlu-pro,None,1.0,0.025,24,0.06831835955381393,0.9462268413917759
mmlu-pro,None,1.0,0.025,25,0.0683685690164566,0.9439674649796657
mmlu-pro,None,1.0,0.025,26,0.06826362013816833,0.9403524627202893
mmlu-pro,None,1.0,0.025,27,0.06836666911840439,0.9426118391323995
mmlu-pro,None,1.0,0.025,28,0.06840139627456665,0.946678716674198
mmlu-pro,None,1.0,0.025,29,0.06794086843729019,0.9439674649796657
mmlu-pro,None,1.0,0.025,30,0.06838277727365494,0.946678716674198
mmlu-pro,None,1.0,0.025,31,0.06825800240039825,0.9403524627202893
mmlu-pro,None,1.0,0.025,32,0.06806926429271698,0.947582467239042
mmlu-pro,None,1.0,0.05,0,0.043487973511219025,0.9399005874378672
mmlu-pro,None,1.0,0.05,1,0.04367392137646675,0.947582467239042
mmlu-pro,None,1.0,0.05,2,0.04350847005844116,0.9493899683687302
mmlu-pro,None,1.0,0.05,3,0.043343331664800644,0.9489380930863082
mmlu-pro,None,1.0,0.05,4,0.04342596232891083,0.9444193402620877
mmlu-pro,None,1.0,0.05,5,0.043601784855127335,0.9403524627202893
mmlu-pro,None,1.0,0.05,6,0.04356982558965683,0.9435155896972436
mmlu-pro,None,1.0,0.05,7,0.04350678622722626,0.9430637144148215
mmlu-pro,None,1.0,0.05,8,0.04358991980552673,0.9439674649796657
mmlu-pro,None,1.0,0.05,9,0.04371698573231697,0.9511974694984184
mmlu-pro,None,1.0,0.05,10,0.04355071485042572,0.9439674649796657
mmlu-pro,None,1.0,0.05,11,0.043492693454027176,0.9439674649796657
mmlu-pro,None,1.0,0.05,12,0.04357735440135002,0.9511974694984184
mmlu-pro,None,1.0,0.05,13,0.04352928698062897,0.9448712155445097
mmlu-pro,None,1.0,0.05,14,0.04348011314868927,0.9430637144148215
mmlu-pro,None,1.0,0.05,15,0.04351908713579178,0.9462268413917759
mmlu-pro,None,1.0,0.05,16,0.043484609574079514,0.947582467239042
mmlu-pro,None,1.0,0.05,17,0.04345236346125603,0.9525530953456847
mmlu-pro,None,1.0,0.05,18,0.04357556998729706,0.94713059195662
mmlu-pro,None,1.0,0.05,19,0.04354431852698326,0.9444193402620877
mmlu-pro,None,1.0,0.05,20,0.04345431178808212,0.9426118391323995
mmlu-pro,None,1.0,0.05,21,0.043447885662317276,0.9444193402620877
mmlu-pro,None,1.0,0.05,22,0.04367375373840332,0.9462268413917759
mmlu-pro,None,1.0,0.05,23,0.043524906039237976,0.946678716674198
mmlu-pro,None,1.0,0.05,24,0.04354296997189522,0.9552643470402169
mmlu-pro,None,1.0,0.05,25,0.043584223836660385,0.9498418436511523
mmlu-pro,None,1.0,0.05,26,0.043615665286779404,0.9480343425214641
mmlu-pro,None,1.0,0.05,27,0.04361642897129059,0.9493899683687302
mmlu-pro,None,1.0,0.05,28,0.043638695031404495,0.9530049706281066
mmlu-pro,None,1.0,0.05,29,0.043447114527225494,0.946678716674198
mmlu-pro,None,1.0,0.05,30,0.04365459457039833,0.9362855851784908
mmlu-pro,None,1.0,0.05,31,0.04351027309894562,0.9444193402620877
mmlu-pro,None,1.0,0.05,32,0.04347040504217148,0.9403524627202893
mmlu-pro,None,1.0,0.075,0,0.03345055505633354,0.9403524627202893
mmlu-pro,None,1.0,0.075,1,0.03345690295100212,0.947582467239042
mmlu-pro,None,1.0,0.075,2,0.033423639833927155,0.9453230908269318
mmlu-pro,None,1.0,0.075,3,0.033409055322408676,0.9462268413917759
mmlu-pro,None,1.0,0.075,4,0.033402442932128906,0.9498418436511523
mmlu-pro,None,1.0,0.075,5,0.033480580896139145,0.9394487121554451
mmlu-pro,None,1.0,0.075,6,0.03344062343239784,0.946678716674198
mmlu-pro,None,1.0,0.075,7,0.03339845687150955,0.9444193402620877
mmlu-pro,None,1.0,0.075,8,0.033450718969106674,0.9502937189335744
mmlu-pro,None,1.0,0.075,9,0.033487848937511444,0.9511974694984184
mmlu-pro,None,1.0,0.075,10,0.03342009708285332,0.9502937189335744
mmlu-pro,None,1.0,0.075,11,0.03339288383722305,0.94713059195662
mmlu-pro,None,1.0,0.075,12,0.03343946114182472,0.94713059195662
mmlu-pro,None,1.0,0.075,13,0.03343326225876808,0.9484862178038862
mmlu-pro,None,1.0,0.075,14,0.03345320001244545,0.9448712155445097
