lb,ub,mean_width,coverage,estimator,$n_b$,prop_budget,seed
-0.08358441,0.023623364,0.107207775,1,faq,550,0.055,1
-0.041301094,0.09370146,0.13500255,1,faq,550,0.055,2
-0.07407144,0.05615401,0.13022545,1,faq,550,0.055,3
-0.13595495,-0.0445656,0.09138934,0,faq,550,0.055,4
-0.047867145,0.07715658,0.12502372,1,faq,550,0.055,5
-0.015143286,0.102580905,0.117724195,1,faq,550,0.055,6
-0.030401979,0.1190885,0.14949048,1,faq,550,0.055,7
-0.113628566,-0.016580272,0.0970483,0,faq,550,0.055,8
-0.055871606,0.07643312,0.13230473,1,faq,550,0.055,9
-0.038822614,0.08564441,0.12446702,1,classical,775,0.0775,0
-0.058683816,0.048380647,0.10706446,1,classical,775,0.0775,1
-0.07384554,0.030300817,0.10414636,1,classical,775,0.0775,2
-0.062144317,0.048667863,0.11081218,1,classical,775,0.0775,3
-0.06665253,0.039636318,0.10628885,1,classical,775,0.0775,4
-0.08634816,0.018149197,0.10449736,1,classical,775,0.0775,5
-0.039229583,0.0789538,0.11818339,1,classical,775,0.0775,6
-0.0413131,0.09889831,0.1402114,1,classical,775,0.0775,7
-0.05830352,0.059601784,0.117905304,1,classical,775,0.0775,8
-0.06284645,0.051779434,0.114625886,1,classical,775,0.0775,9
-0.06782492,0.03538955,0.10321447,1,uniform+pai,775,0.0775,0
-0.041786414,0.07100546,0.11279188,1,uniform+pai,775,0.0775,1
-0.08058258,0.0337236,0.11430618,1,uniform+pai,775,0.0775,2
-0.06713478,0.022168592,0.089303374,1,uniform+pai,775,0.0775,3
-0.06656277,0.034755673,0.10131845,1,uniform+pai,775,0.0775,4
-0.053961385,0.051696252,0.10565764,1,uniform+pai,775,0.0775,5
-0.041627727,0.078334756,0.11996248,1,uniform+pai,775,0.0775,6
-0.038270213,0.08029476,0.11856497,1,uniform+pai,775,0.0775,7
-0.091149375,-0.004843291,0.08630608,1,uniform+pai,775,0.0775,8
-0.07601965,0.017866319,0.09388597,1,uniform+pai,775,0.0775,9
-0.058719885,0.032527108,0.09124699,1,faq,775,0.0775,0
-0.056105245,0.063854344,0.11995959,1,faq,775,0.0775,1
-0.042792767,0.06569981,0.108492576,1,faq,775,0.0775,2
-0.09629159,0.000793539,0.097085126,1,faq,775,0.0775,3
-0.06352299,0.043502755,0.10702574,1,faq,775,0.0775,4
-0.105081834,-0.01943332,0.085648514,0,faq,775,0.0775,5
-0.06244631,0.030454466,0.092900775,1,faq,775,0.0775,6
-0.05552814,0.044469096,0.09999724,1,faq,775,0.0775,7
-0.094232485,-0.004737716,0.089494765,1,faq,775,0.0775,8
-0.06412961,0.047513388,0.111643,1,faq,775,0.0775,9
-0.083766386,0.014395352,0.09816174,1,classical,1000,0.1,0
-0.04423871,0.07912986,0.12336857,1,classical,1000,0.1,1
-0.09214225,0.010428667,0.102570914,1,classical,1000,0.1,2
-0.03917799,0.06995782,0.109135814,1,classical,1000,0.1,3
-0.074766666,0.03299801,0.107764676,1,classical,1000,0.1,4
-0.068024755,0.031867966,0.09989272,1,classical,1000,0.1,5
0.00587216,0.12504767,0.11917551,0,classical,1000,0.1,6
-0.084148996,0.011076473,0.09522547,1,classical,1000,0.1,7
-0.049169134,0.067804076,0.11697321,1,classical,1000,0.1,8
-0.04767583,0.054185655,0.101861484,1,classical,1000,0.1,9
-0.054501995,0.03309796,0.087599955,1,uniform+pai,1000,0.1,0
-0.04926276,0.053388897,0.102651656,1,uniform+pai,1000,0.1,1
0.015110437,0.13882858,0.12371814,0,uniform+pai,1000,0.1,2
-0.09929548,-0.023959659,0.07533582,0,uniform+pai,1000,0.1,3
-0.030292708,0.052494776,0.082787484,1,uniform+pai,1000,0.1,4
0.009104472,0.11504702,0.10594255,0,uniform+pai,1000,0.1,5
-0.07412923,0.014785374,0.0889146,1,uniform+pai,1000,0.1,6
-0.051589597,0.033733588,0.085323185,1,uniform+pai,1000,0.1,7
-0.08035655,-0.0041734315,0.076183125,1,uniform+pai,1000,0.1,8
-0.076405756,-0.0059697405,0.070436016,1,uniform+pai,1000,0.1,9
-0.009192809,0.088524245,0.097717054,0,faq,1000,0.1,0
-0.08889941,-0.009414315,0.079485096,1,faq,1000,0.1,1
-0.03053851,0.07673864,0.107277155,1,faq,1000,0.1,2
-0.041009005,0.06500888,0.10601789,1,faq,1000,0.1,3
-0.08128007,-0.0043966584,0.076883405,1,faq,1000,0.1,4
-0.06680238,0.022863068,0.08966545,1,faq,1000,0.1,5
0.002644468,0.10508686,0.1024424,0,faq,1000,0.1,6
-0.025611214,0.07427757,0.09988879,1,faq,1000,0.1,7
-0.054257695,0.0343553,0.088612996,1,faq,1000,0.1,8
-0.0738204,0.035589732,0.10941013,1,faq,1000,0.1,9
