group,prop_budget,method,seed,width,coverage
all,0.0100,wor-active,333,0.06599831581115723,1.0
all,0.0100,wor-uniform,333,0.08774995803833008,1.0
all,0.0100,wor-active,334,0.07884180545806885,1.0
all,0.0100,wor-uniform,334,0.07189320027828217,1.0
all,0.0100,wor-active,335,0.08921252191066742,1.0
all,0.0100,wor-uniform,335,0.07870098948478699,0.0
all,0.0100,wor-active,336,0.08489228785037994,1.0
all,0.0100,wor-uniform,336,0.09122246503829956,1.0
all,0.0100,wor-active,337,0.07163548469543457,1.0
all,0.0100,wor-uniform,337,0.09483276307582855,1.0
all,0.0100,wor-active,338,0.08458808064460754,1.0
all,0.0100,wor-uniform,338,0.07658761739730835,1.0
all,0.0100,wor-active,339,0.07119107246398926,1.0
all,0.0100,wor-uniform,339,0.08957672119140625,1.0
all,0.0100,wor-active,340,0.07369191944599152,1.0
all,0.0100,wor-uniform,340,0.09276530146598816,1.0
all,0.0100,wor-active,341,0.08019544184207916,1.0
all,0.0100,wor-uniform,341,0.08618490397930145,1.0
all,0.0100,wor-active,342,0.07986873388290405,1.0
all,0.0100,wor-uniform,342,0.07500755786895752,1.0
all,0.0100,wor-active,343,0.08652599155902863,1.0
all,0.0100,wor-uniform,343,0.07992592453956604,1.0
all,0.0100,wor-active,344,0.06850063800811768,1.0
all,0.0100,wor-uniform,344,0.08433711528778076,1.0
all,0.0100,wor-active,345,0.08650338649749756,1.0
all,0.0100,wor-uniform,345,0.07793201506137848,1.0
all,0.0100,wor-active,346,0.06561695039272308,1.0
all,0.0100,wor-uniform,346,0.09087967872619629,1.0
all,0.0100,wor-active,347,0.08964896202087402,0.0
all,0.0100,wor-uniform,347,0.09179125726222992,1.0
all,0.0100,wor-active,348,0.07016579806804657,1.0
all,0.0100,wor-uniform,348,0.07570722699165344,1.0
all,0.0100,wor-active,349,0.09359924495220184,1.0
all,0.0100,wor-uniform,349,0.07792143523693085,1.0
all,0.0100,wor-active,350,0.07120738923549652,1.0
all,0.0100,wor-uniform,350,0.08293533325195312,1.0
all,0.0100,wor-active,351,0.08136671781539917,1.0
all,0.0100,wor-uniform,351,0.09239381551742554,1.0
all,0.0100,wor-active,352,0.06419675052165985,1.0
all,0.0100,wor-uniform,352,0.08747629821300507,1.0
all,0.0100,wor-active,353,0.07519716024398804,1.0
all,0.0100,wor-uniform,353,0.09866325557231903,1.0
all,0.0100,wor-active,354,0.07715801894664764,1.0
all,0.0100,wor-uniform,354,0.09807980060577393,1.0
all,0.0100,wor-active,355,0.066231369972229,1.0
all,0.0100,wor-uniform,355,0.09870016574859619,1.0
all,0.0100,wor-active,356,0.08610199391841888,1.0
all,0.0100,wor-uniform,356,0.08086125552654266,1.0
all,0.0100,wor-active,357,0.06283660233020782,1.0
all,0.0100,wor-uniform,357,0.08473461866378784,1.0
all,0.0100,wor-active,358,0.06801511347293854,1.0
all,0.0100,wor-uniform,358,0.08797015249729156,1.0
all,0.0100,wor-active,359,0.06594544649124146,1.0
all,0.0100,wor-uniform,359,0.08653636276721954,1.0
all,0.0100,wor-active,360,0.08695071935653687,1.0
all,0.0100,wor-uniform,360,0.08064089715480804,1.0
all,0.0100,wor-active,361,0.06092110276222229,1.0
all,0.0100,wor-uniform,361,0.08804735541343689,1.0
all,0.0100,wor-active,362,0.09454631805419922,1.0
all,0.0100,wor-uniform,362,0.0936051607131958,1.0
all,0.0100,wor-active,363,0.06836384534835815,1.0
all,0.0100,wor-uniform,363,0.08602683246135712,1.0
all,0.0100,wor-active,364,0.06236286461353302,1.0
all,0.0100,wor-uniform,364,0.08705650269985199,1.0
all,0.0100,wor-active,365,0.07220993936061859,1.0
all,0.0100,wor-uniform,365,0.09286542236804962,1.0
all,0.0100,wor-active,366,0.06032957136631012,1.0
all,0.0100,wor-uniform,366,0.09971721470355988,1.0
all,0.0100,wor-active,367,0.08127367496490479,1.0
all,0.0100,wor-uniform,367,0.0781547874212265,1.0
all,0.0100,wor-active,368,0.06780004501342773,1.0
all,0.0100,wor-uniform,368,0.09358592331409454,1.0
all,0.0100,wor-active,369,0.08291542530059814,1.0
all,0.0100,wor-uniform,369,0.1002914160490036,1.0
all,0.0100,wor-active,370,0.06900334358215332,1.0
all,0.0100,wor-uniform,370,0.08661490678787231,1.0
all,0.0100,wor-active,371,0.07841610908508301,1.0
all,0.0100,wor-uniform,371,0.09230302274227142,1.0
all,0.0100,wor-active,372,0.06269106268882751,0.0
all,0.0100,wor-uniform,372,0.08442056179046631,1.0
all,0.0100,wor-active,373,0.07599139213562012,1.0
all,0.0100,wor-uniform,373,0.09793685376644135,1.0
all,0.0100,wor-active,374,0.07185333967208862,1.0
all,0.0100,wor-uniform,374,0.09498506784439087,1.0
all,0.0100,wor-active,375,0.06975363194942474,1.0
all,0.0100,wor-uniform,375,0.08539493381977081,1.0
all,0.0100,wor-active,376,0.09415960311889648,1.0
all,0.0100,wor-uniform,376,0.08669069409370422,1.0
all,0.0100,wor-active,377,0.06755736470222473,1.0
all,0.0100,wor-uniform,377,0.07495476305484772,1.0
all,0.0100,wor-active,378,0.08119970560073853,1.0
all,0.0100,wor-uniform,378,0.0853220671415329,1.0
all,0.0100,wor-active,379,0.10228818655014038,1.0
all,0.0100,wor-uniform,379,0.10546141862869263,1.0
all,0.0100,wor-active,380,0.09096816182136536,0.0
all,0.0100,wor-uniform,380,0.07495670020580292,1.0
all,0.0100,wor-active,381,0.06602674722671509,1.0
all,0.0100,wor-uniform,381,0.06894804537296295,1.0
all,0.0100,wor-active,382,0.08415627479553223,0.0
all,0.0100,wor-uniform,382,0.09836269915103912,1.0
all,0.0100,wor-active,383,0.08160918951034546,1.0
all,0.0100,wor-uniform,383,0.09872424602508545,1.0
all,0.0100,wor-active,384,0.05481988191604614,1.0
all,0.0100,wor-uniform,384,0.08038179576396942,1.0
all,0.0100,wor-active,385,0.06582340598106384,1.0
all,0.0100,wor-uniform,385,0.09039556980133057,1.0
all,0.0100,wor-active,386,0.0794796496629715,1.0
all,0.0100,wor-uniform,386,0.08653070032596588,1.0
all,0.0100,wor-active,387,0.07747267186641693,1.0
all,0.0100,wor-uniform,387,0.09594953060150146,1.0
all,0.0100,wor-active,388,0.0766928642988205,1.0
all,0.0100,wor-uniform,388,0.07684442400932312,1.0
all,0.0100,wor-active,389,0.07813772559165955,1.0
all,0.0100,wor-uniform,389,0.095029816031456,1.0
all,0.0100,wor-active,390,0.06719048321247101,1.0
all,0.0100,wor-uniform,390,0.08518317341804504,1.0
all,0.0100,wor-active,391,0.07905413210391998,1.0
all,0.0100,wor-uniform,391,0.0903996080160141,1.0
all,0.0100,wor-active,392,0.07848381996154785,1.0
all,0.0100,wor-uniform,392,0.0902591198682785,1.0
all,0.0100,wor-active,393,0.10712261497974396,1.0
all,0.0100,wor-uniform,393,0.09341305494308472,1.0
all,0.0100,wor-active,394,0.08138632774353027,1.0
all,0.0100,wor-uniform,394,0.09117446839809418,1.0
all,0.0100,wor-active,395,0.08885692059993744,1.0
all,0.0100,wor-uniform,395,0.0744306892156601,1.0
all,0.0100,wor-active,396,0.06666097044944763,0.0
all,0.0100,wor-uniform,396,0.09710299968719482,1.0
all,0.0100,wor-active,397,0.07927539944648743,1.0
all,0.0100,wor-uniform,397,0.09613370895385742,1.0
all,0.0100,wor-active,398,0.08155529201030731,1.0
all,0.0100,wor-uniform,398,0.08875882625579834,1.0
all,0.0100,wor-active,399,0.08501508831977844,1.0
all,0.0100,wor-uniform,399,0.08523845672607422,1.0
all,0.0100,wor-active,400,0.07724618911743164,1.0
all,0.0100,wor-uniform,400,0.0851556658744812,1.0
all,0.0100,wor-active,401,0.07288090884685516,1.0
all,0.0100,wor-uniform,401,0.0957101583480835,1.0
all,0.0100,wor-active,402,0.08546622097492218,1.0
all,0.0100,wor-uniform,402,0.08496487140655518,1.0
all,0.0100,wor-active,403,0.07157689332962036,1.0
all,0.0100,wor-uniform,403,0.08247660100460052,1.0
all,0.0100,wor-active,404,0.07849876582622528,1.0
all,0.0100,wor-uniform,404,0.09195160865783691,1.0
all,0.0100,wor-active,405,0.06907975673675537,1.0
all,0.0100,wor-uniform,405,0.08649830520153046,1.0
all,0.0100,wor-active,406,0.0608208030462265,1.0
all,0.0100,wor-uniform,406,0.07084548473358154,1.0
all,0.0100,wor-active,407,0.088578000664711,1.0
all,0.0100,wor-uniform,407,0.09075987339019775,1.0
all,0.0100,wor-active,408,0.0726509541273117,1.0
all,0.0100,wor-uniform,408,0.08403843641281128,1.0
all,0.0100,wor-active,409,0.10322362184524536,1.0
all,0.0100,wor-uniform,409,0.08468037843704224,1.0
all,0.0100,wor-active,410,0.08107638359069824,1.0
all,0.0100,wor-uniform,410,0.0890357494354248,1.0
all,0.0100,wor-active,411,0.1116752028465271,1.0
all,0.0100,wor-uniform,411,0.0975075513124466,1.0
all,0.0100,wor-active,412,0.0735783576965332,1.0
all,0.0100,wor-uniform,412,0.09546852111816406,1.0
all,0.0100,wor-active,413,0.06208886206150055,1.0
all,0.0100,wor-uniform,413,0.08758676052093506,1.0
all,0.0100,wor-active,414,0.06658303737640381,1.0
all,0.0100,wor-uniform,414,0.07775753736495972,1.0
all,0.0100,wor-active,415,0.06084144115447998,1.0
all,0.0100,wor-uniform,415,0.08541315793991089,1.0
all,0.0100,wor-active,416,0.06746113300323486,1.0
all,0.0100,wor-uniform,416,0.0828467309474945,1.0
all,0.0100,wor-active,417,0.07035261392593384,1.0
all,0.0100,wor-uniform,417,0.088051438331604,1.0
all,0.0100,wor-active,418,0.09218442440032959,1.0
all,0.0100,wor-uniform,418,0.08195346593856812,1.0
all,0.0100,wor-active,419,0.0654149204492569,1.0
all,0.0100,wor-uniform,419,0.09732264280319214,1.0
all,0.0100,wor-active,420,0.0687478631734848,1.0
all,0.0100,wor-uniform,420,0.08826006948947906,1.0
all,0.0100,wor-active,421,0.05733253061771393,1.0
all,0.0100,wor-uniform,421,0.09198041260242462,1.0
all,0.0100,wor-active,422,0.09448522329330444,1.0
all,0.0100,wor-uniform,422,0.09111237525939941,1.0
all,0.0100,wor-active,423,0.07386654615402222,1.0
all,0.0100,wor-uniform,423,0.08778294920921326,1.0
all,0.0100,wor-active,424,0.07207560539245605,1.0
all,0.0100,wor-uniform,424,0.07649600505828857,1.0
all,0.0100,wor-active,425,0.07416723668575287,1.0
all,0.0100,wor-uniform,425,0.09800153970718384,0.0
all,0.0100,wor-active,426,0.0890575647354126,1.0
all,0.0100,wor-uniform,426,0.08625125885009766,1.0
all,0.0100,wor-active,427,0.06353013217449188,1.0
all,0.0100,wor-uniform,427,0.08332394063472748,0.0
all,0.0100,wor-active,428,0.07633037865161896,1.0
all,0.0100,wor-uniform,428,0.09106022119522095,1.0
all,0.0100,wor-active,429,0.07683983445167542,1.0
all,0.0100,wor-uniform,429,0.10141585767269135,1.0
all,0.0100,wor-active,430,0.08851669728755951,1.0
all,0.0100,wor-uniform,430,0.10124033689498901,1.0
all,0.0100,wor-active,431,0.06292307376861572,1.0
all,0.0100,wor-uniform,431,0.07008065283298492,0.0
all,0.0100,wor-active,432,0.06995944678783417,1.0
all,0.0100,wor-uniform,432,0.07892584800720215,1.0
all,0.0100,wor-active,433,0.09044389426708221,1.0
all,0.0100,wor-uniform,433,0.07751445472240448,1.0
all,0.0100,wor-active,434,0.08827412128448486,1.0
all,0.0100,wor-uniform,434,0.08363240957260132,1.0
all,0.0100,wor-active,435,0.0879020094871521,1.0
all,0.0100,wor-uniform,435,0.08462439477443695,1.0
all,0.0100,wor-active,436,0.07446777820587158,1.0
all,0.0100,wor-uniform,436,0.08291824162006378,1.0
all,0.0100,wor-active,437,0.0900341272354126,1.0
all,0.0100,wor-uniform,437,0.08926630020141602,1.0
all,0.0100,wor-active,438,0.0809989869594574,1.0
all,0.0100,wor-uniform,438,0.08686995506286621,1.0
all,0.0100,wor-active,439,0.06617224216461182,1.0
all,0.0100,wor-uniform,439,0.08068160712718964,1.0
all,0.0100,wor-active,440,0.07460828125476837,1.0
all,0.0100,wor-uniform,440,0.08601157367229462,1.0
all,0.0100,wor-active,441,0.08511948585510254,1.0
all,0.0100,wor-uniform,441,0.08402332663536072,1.0
all,0.0100,wor-active,442,0.08530837297439575,1.0
all,0.0100,wor-uniform,442,0.08601696789264679,1.0
all,0.0100,wor-active,443,0.0868411660194397,1.0
all,0.0100,wor-uniform,443,0.09074324369430542,1.0
all,0.0100,wor-active,444,0.10475248098373413,0.0
all,0.0100,wor-uniform,444,0.09445346891880035,1.0
all,0.0100,wor-active,445,0.10382711887359619,1.0
all,0.0100,wor-uniform,445,0.0739932507276535,1.0
all,0.0100,wor-active,446,0.08520299196243286,1.0
all,0.0100,wor-uniform,446,0.09095323085784912,1.0
all,0.0100,wor-active,447,0.06942117214202881,1.0
all,0.0100,wor-uniform,447,0.09017886221408844,1.0
all,0.0100,wor-active,448,0.06150704622268677,1.0
all,0.0100,wor-uniform,448,0.07808387279510498,1.0
all,0.0100,wor-active,449,0.08101482689380646,1.0
all,0.0100,wor-uniform,449,0.0954209715127945,1.0
all,0.0100,wor-active,450,0.0726015567779541,1.0
all,0.0100,wor-uniform,450,0.07467016577720642,1.0
all,0.0100,wor-active,451,0.07932883501052856,1.0
all,0.0100,wor-uniform,451,0.0914345383644104,1.0
all,0.0100,wor-active,452,0.07167351245880127,1.0
all,0.0100,wor-uniform,452,0.07132947444915771,0.0
all,0.0100,wor-active,453,0.1034245491027832,1.0
all,0.0100,wor-uniform,453,0.08559945225715637,1.0
all,0.0100,wor-active,454,0.07387426495552063,1.0
all,0.0100,wor-uniform,454,0.09259301424026489,1.0
all,0.0100,wor-active,455,0.09562993049621582,1.0
all,0.0100,wor-uniform,455,0.084308922290802,0.0
all,0.0100,wor-active,456,0.08239614963531494,1.0
all,0.0100,wor-uniform,456,0.09622462093830109,1.0
all,0.0100,wor-active,457,0.08425843715667725,1.0
all,0.0100,wor-uniform,457,0.08310206234455109,1.0
all,0.0100,wor-active,458,0.09495174884796143,1.0
all,0.0100,wor-uniform,458,0.09286622703075409,1.0
all,0.0100,wor-active,459,0.059515759348869324,1.0
all,0.0100,wor-uniform,459,0.08012545108795166,1.0
all,0.0100,wor-active,460,0.06761613488197327,1.0
all,0.0100,wor-uniform,460,0.08627887070178986,1.0
all,0.0100,wor-active,461,0.06866364181041718,1.0
all,0.0100,wor-uniform,461,0.08291222155094147,1.0
all,0.0100,wor-active,462,0.07104641199111938,1.0
all,0.0100,wor-uniform,462,0.08941221237182617,1.0
all,0.0100,wor-active,463,0.06618936359882355,1.0
all,0.0100,wor-uniform,463,0.08481982350349426,1.0
all,0.0100,wor-active,464,0.07390676438808441,1.0
all,0.0100,wor-uniform,464,0.09323292970657349,1.0
all,0.0100,wor-active,465,0.08130048215389252,1.0
all,0.0100,wor-uniform,465,0.09580057859420776,1.0
all,0.0100,wor-active,466,0.07444864511489868,1.0
all,0.0100,wor-uniform,466,0.09001672267913818,1.0
all,0.0100,wor-active,467,0.06426504254341125,1.0
all,0.0100,wor-uniform,467,0.094463050365448,1.0
all,0.0100,wor-active,468,0.09283876419067383,1.0
all,0.0100,wor-uniform,468,0.08304882049560547,1.0
all,0.0100,wor-active,469,0.06508269906044006,1.0
all,0.0100,wor-uniform,469,0.08796131610870361,1.0
all,0.0100,wor-active,470,0.06611086428165436,1.0
all,0.0100,wor-uniform,470,0.0718025267124176,1.0
all,0.0100,wor-active,471,0.08926557004451752,1.0
all,0.0100,wor-uniform,471,0.09620803594589233,0.0
all,0.0100,wor-active,472,0.057451486587524414,0.0
all,0.0100,wor-uniform,472,0.07140222191810608,1.0
all,0.0100,wor-active,473,0.06392213702201843,0.0
all,0.0100,wor-uniform,473,0.07626545429229736,1.0
all,0.0100,wor-active,474,0.07066863775253296,1.0
all,0.0100,wor-uniform,474,0.07626083493232727,0.0
all,0.0100,wor-active,475,0.06214238703250885,0.0
all,0.0100,wor-uniform,475,0.08094105124473572,1.0
all,0.0100,wor-active,476,0.06626951694488525,0.0
all,0.0100,wor-uniform,476,0.10483723878860474,0.0
all,0.0100,wor-active,477,0.06512652337551117,1.0
all,0.0100,wor-uniform,477,0.08477117121219635,1.0
all,0.0100,wor-active,478,0.07466691732406616,1.0
all,0.0100,wor-uniform,478,0.08625328540802002,1.0
all,0.0100,wor-active,479,0.0811968445777893,1.0
all,0.0100,wor-uniform,479,0.07757681608200073,1.0
all,0.0100,wor-active,480,0.057350724935531616,0.0
all,0.0100,wor-uniform,480,0.09330612421035767,1.0
all,0.0100,wor-active,481,0.07570649683475494,1.0
all,0.0100,wor-uniform,481,0.08000743389129639,1.0
all,0.0100,wor-active,482,0.09185051918029785,1.0
all,0.0100,wor-uniform,482,0.10314682126045227,1.0
all,0.0100,wor-active,483,0.07274109125137329,1.0
all,0.0100,wor-uniform,483,0.08037491142749786,1.0
all,0.0100,wor-active,484,0.0869033932685852,1.0
all,0.0100,wor-uniform,484,0.07121390104293823,1.0
all,0.0100,wor-active,485,0.076844722032547,1.0
all,0.0100,wor-uniform,485,0.08020240068435669,1.0
all,0.0100,wor-active,486,0.0893370509147644,1.0
all,0.0100,wor-uniform,486,0.09605073928833008,1.0
all,0.0100,wor-active,487,0.07036665081977844,1.0
all,0.0100,wor-uniform,487,0.09340144693851471,1.0
all,0.0100,wor-active,488,0.05463910102844238,1.0
all,0.0100,wor-uniform,488,0.0914565771818161,1.0
all,0.0100,wor-active,489,0.06349369883537292,0.0
all,0.0100,wor-uniform,489,0.0919465571641922,1.0
all,0.0100,wor-active,490,0.06972213089466095,1.0
all,0.0100,wor-uniform,490,0.08389317989349365,1.0
all,0.0100,wor-active,491,0.07347540557384491,1.0
all,0.0100,wor-uniform,491,0.07571756839752197,1.0
all,0.0100,wor-active,492,0.10887950658798218,1.0
all,0.0100,wor-uniform,492,0.09294943511486053,1.0
all,0.0100,wor-active,493,0.066888228058815,1.0
all,0.0100,wor-uniform,493,0.08821815252304077,1.0
all,0.0100,wor-active,494,0.08517266809940338,1.0
all,0.0100,wor-uniform,494,0.09299296140670776,1.0
all,0.0100,wor-active,495,0.07270616292953491,1.0
all,0.0100,wor-uniform,495,0.0856136679649353,1.0
all,0.0100,wor-active,496,0.07860033214092255,1.0
all,0.0100,wor-uniform,496,0.0892263650894165,1.0
all,0.0100,wor-active,497,0.08500516414642334,1.0
all,0.0100,wor-uniform,497,0.08451443910598755,1.0
all,0.0100,wor-active,498,0.06775668263435364,1.0
all,0.0100,wor-uniform,498,0.08998410403728485,1.0
all,0.0100,wor-active,499,0.08602277934551239,1.0
all,0.0100,wor-uniform,499,0.08151185512542725,1.0
all,0.0100,wor-active,500,0.09076280891895294,1.0
all,0.0100,wor-uniform,500,0.08472836017608643,1.0
all,0.0100,wor-active,501,0.08533018827438354,1.0
all,0.0100,wor-uniform,501,0.09022986888885498,1.0
all,0.0100,wor-active,502,0.06432272493839264,1.0
all,0.0100,wor-uniform,502,0.07983200252056122,1.0
all,0.0100,wor-active,503,0.08092856407165527,1.0
all,0.0100,wor-uniform,503,0.08312404155731201,1.0
all,0.0100,wor-active,504,0.08570736646652222,1.0
all,0.0100,wor-uniform,504,0.08134451508522034,1.0
all,0.0100,wor-active,505,0.0702398270368576,1.0
all,0.0100,wor-uniform,505,0.0967644453048706,1.0
all,0.0100,wor-active,506,0.06262210011482239,1.0
all,0.0100,wor-uniform,506,0.09083312749862671,1.0
all,0.0100,wor-active,507,0.07329869270324707,1.0
