dataset,n_full_obs,mcar_obs_prob,prop_budget,seed,ess_multiplier,ess_multiplier_serr,coverage,coverage_serr,mean_width,mean_width_serr
bbh+gpqa+ifeval+math+musr,,1.0,0.025,49.5,3.04625480329566,0.0017009678730354,0.9450994575045208,0.0005080809089418,0.0911750841885804,2.3793754471788224e-05
bbh+gpqa+ifeval+math+musr,,1.0,0.05,49.5,3.5968281799565203,0.0017446108810995,0.9467902350813744,0.0005168698487944,0.0585998931527137,1.351563430843649e-05
bbh+gpqa+ifeval+math+musr,,1.0,0.075,49.5,3.918979268409346,0.0015595088588025,0.9466817359855334,0.0004099710853656,0.0452078773081302,8.314075108536226e-06
bbh+gpqa+ifeval+math+musr,,1.0,0.1,49.5,4.10435377178864,0.0014587819417551,0.9474367088607596,0.00050180667269,0.0377465466409921,6.138256254002104e-06
bbh+gpqa+ifeval+math+musr,,1.0,0.125,49.5,4.207103902425118,0.0012649245992052,0.947879746835443,0.0005343399354016,0.0328861982002853,4.591832830554255e-06
bbh+gpqa+ifeval+math+musr,,1.0,0.15,49.5,4.253875309438558,0.0011525402188579,0.9486528028933092,0.000496734258008,0.0294178627617656,3.785321983629108e-06
bbh+gpqa+ifeval+math+musr,,1.0,0.175,49.5,4.261012135126856,0.0010420976388633,0.9482730560578662,0.0004691632120679,0.0268137311749159,3.076657932592435e-06
bbh+gpqa+ifeval+math+musr,,1.0,0.2,49.5,4.238998242310072,0.0009543062174738,0.9490958408679928,0.0004351402962693,0.0247653243504464,2.617347325808671e-06
bbh+gpqa+ifeval+math+musr,,1.0,0.225,49.5,4.195052517712643,0.0008912801870698,0.9491048824593128,0.0004804674984858,0.0230972201563417,2.3079244017933567e-06
bbh+gpqa+ifeval+math+musr,,1.0,0.25,49.5,4.133705095122152,0.0008090746525804,0.949498191681736,0.0004461173222441,0.0217172944173216,2.0182151111051493e-06
mmlu-pro,,1.0,0.025,49.5,3.574571529491024,0.0023290826036413,0.9405241753276096,0.0004654902539463,0.0670161219686269,2.1032752715018036e-05
mmlu-pro,,1.0,0.05,49.5,4.269551064682941,0.0031189554975949,0.9400180750112967,0.0005445512383825,0.0427864118665456,1.6052306860615275e-05
mmlu-pro,,1.0,0.075,49.5,4.661022723338252,0.0028456057703347,0.942788070492544,0.0005008820239149,0.0329914192110299,1.0239696652972947e-05
mmlu-pro,,1.0,0.1,49.5,4.885462407150709,0.0026393050360411,0.9444600090375056,0.0005228505687186,0.0275266780890523,7.629285765420563e-06
mmlu-pro,,1.0,0.125,49.5,5.005830762983849,0.0025617328285662,0.9453004970628108,0.0005362597593318,0.0239813110791146,6.21783298878635e-06
mmlu-pro,,1.0,0.15,49.5,5.059590471409467,0.0022701437062633,0.9465431540894712,0.0004935649640675,0.0214683309569954,4.834643797810239e-06
mmlu-pro,,1.0,0.175,49.5,5.065681439014359,0.002064029959606,0.9469543605964752,0.0004321794974988,0.0195682088471948,3.981333757581688e-06
mmlu-pro,,1.0,0.2,49.5,5.037510859102576,0.0018977761788862,0.9472028920018076,0.0004507199259029,0.0180745692178606,3.423132610352976e-06
mmlu-pro,,1.0,0.225,49.5,4.9826172076169986,0.0017486534164319,0.9476050610031632,0.0004623601590049,0.0168641623854636,2.963787111171791e-06
mmlu-pro,,1.0,0.25,49.5,4.90741837971949,0.001646739336809,0.9475869859918664,0.0004790168642198,0.0158582829684018,2.6497087736726418e-06
